#,año,fecha,tipo_actividad,formato,actividad,cantidad,pais,ciudad,alcance,localidad,lugar,tipodearea,tipodeestablecimiento,personasalcanzadas_cant,edad,poblacion,vulnerabilidad,dotacióninsumos,toallasdesechables,copasmenstruales,toallasreutilizables,calzonesmenstruales,kit_insumos_gestiónmenstrual,qipusmenstruales,expo_duracion,tematicataller,personal,voluntarias,expo_tiempo_elabtaller,org_apoyo,tipodeestablecimiento_cat,edad_init,edad_fin,AgeGroup_edad_init,9-11,12-14,15-24,25-47,48-100
1.0,2022,2022-03-10,taller,presencial,1er encuentro voluntarias,1,Bolivia,La Paz,Nacional,El Alto,Café AMTA,urbana,cafeteria,5,18-26,voluntarias yawar el alto,no,no,0,0,0,0,0,0,210.0,historia de nuestra sexualidad y anatomia,1,0,480.0,Ninguno,cafeteria,18,26,3,0,0,5,0,0
2.0,2022,2022-04-09,taller,presencial,Taller: qué es ser joven?,1,Bolivia,La Paz,Nacional,La Paz,domicilio privado,urbana,casa,5,18-26,voluntarias yawar el alto,no,si,5,0,0,0,0,0,210.0,Qué es ser joven?,2,0,400.0,Ninguno,casa,18,26,3,0,0,5,0,0
3.0,2022,2022-07-07,taller,presencial,ALTO ALDEAS,1,Bolivia,La Paz,Nacional,El Alto,UNIFRANZ EL ALTO,periurbana,ONG hogares menores de edad,20,10-13,chicas huérfanas,si,si,0,0,0,0,20,0,210.0,vivencia menstrual-ovulatoria,1,5,480.0,Aptapi Jopueti,ong,10,13,1,20,0,0,0,0
4.0,2022,2022-07-08,taller,presencial,ALTO ALDEAS,1,Bolivia,La Paz,Nacional,El Alto,UNIFRANZ EL ALTO,periurbana,ONG de hogares de menores de edad,17,14-17,chicas en situación de calle,si,si,100,0,0,1,17,0,210.0,vivencia menstrual-ovulatoria,1,5,480.0,Aptapi Jopueti,ong,14,17,3,0,0,17,0,0
5.0,2022,2022-07-09,taller,presencial,ALTO MAPAKI,1,Bolivia,La Paz,Nacional,El Alto,Teatro Trono,periurbana,ONG de chicas en situación de calle,30,12-12,chicas en situación de calle,si,si,30,0,0,0,0,0,210.0,vivencia menstrual-ovulatoria,1,3,480.0,Aptapi Jopueti,ong,12,12,2,0,30,0,0,0
6.0,2022,2023-09-06,taller,presencial,PROYECTO SOCIAL JASAYÉ,1,Bolivia,Beni,Nacional,Santa Rosa del Yacuma,Instalaciones PSJ,rural,Fundación en el área rural,15,10-12,adolescentes y jóvener rurales,si,no,0,0,0,0,0,0,210.0,vivencia menstrual-ovulatoria,1,0,330.0,Proyecto Social Jasayé,fundación,10,12,1,15,0,0,0,0
7.0,2022,2022-09-08,taller,presencial,PROYECTO SOCIAL JASAYÉ,1,Bolivia,Beni,Nacional,Santa Rosa del Yacuma,Instalaciones PSJ,rural,Fundación en el área rural,15,13-14,adolescentes y jóvener rurales,si,no,0,0,0,0,0,0,210.0,vivencia menstrual-ovulatoria,1,0,330.0,Proyecto Social Jasayé,fundación,13,14,2,0,15,0,0,0
8.0,2022,2022-09-12,taller,presencial,PROYECTO SOCIAL JASAYÉ,1,Bolivia,Beni,Nacional,Santa Rosa del Yacuma,Instalaciones PSJ,rural,Fundación en el área rural,21,15-17,adolescentes y jóvener rurales,si,no,0,0,0,0,0,0,210.0,vivencia menstrual-ovulatoria,1,0,330.0,Proyecto Social Jasayé,fundación,15,17,3,0,0,21,0,0
9.0,2022,2022-09-15,taller,presencial,PROYECTO SOCIAL JASAYÉ,1,Bolivia,Beni,Nacional,Santa Rosa del Yacuma,Instalaciones PSJ,rural,Fundación en el área rural,16,11-12,adolescentes y jóvener rurales,si,no,0,0,0,0,0,0,210.0,vivencia menstrual-ovulatoria,1,0,330.0,Proyecto Social Jasayé,fundación,11,12,2,0,16,0,0,0
10.0,2022,2022-06-24,taller,virtual,ESCUELITA VIRTUAL,1,Bolivia,La Paz,Nacional,El Alto,El Alto,urbana,escuela,7,18-25,voluntarias yawar el alto,no,no,0,0,0,0,0,0,210.0,historia de nuestra sexualidad y anatomia,1,0,330.0,Ninguno,,18,25,3,0,0,7,0,0
